,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Temp,Wind Speed
299,Quatre Cocos,40,MU,1563644993,83,-20.21,57.76,71.8,12.75
300,Upata,19,VE,1563644993,64,8.02,-62.41,89.01,5.01
301,Vestmannaeyjar,75,IS,1563644994,93,63.44,-20.27,55.4,10.29
302,Pangnirtung,75,CA,1563644994,63,66.15,-65.72,64.4,12.75
303,Tadine,0,NC,1563644994,74,-21.55,167.88,68.38,21.92
304,Nyurba,0,RU,1563644995,75,63.29,118.35,47.14,2.53
305,Kama,75,JP,1563644995,94,33.54,130.74,76.62,14.99
306,Gafanha da Encarnacao,20,PT,1563644995,82,40.62,-8.73,71.46,13.87
307,Fortuna,0,ES,1563644834,45,38.18,-1.13,87.15,12.75
308,Ngunguru,66,NZ,1563644996,95,-35.62,174.5,43.0,3.0
309,Inhambane,20,MZ,1563644996,77,-23.87,35.38,69.8,9.17
310,Resen,40,MK,1563644997,73,41.09,21.01,69.8,2.24
311,Prince Rupert,1,CA,1563644997,87,54.32,-130.32,59.0,3.36
312,Araouane,15,ML,1563644997,11,18.9,-3.53,109.06,9.53
313,Mattru,100,SL,1563644997,97,7.62,-11.83,73.24,2.93
314,Oranjemund,0,ZA,1563644911,74,-28.55,16.43,55.96,24.11
315,Kurumkan,99,RU,1563644997,85,54.33,110.32,53.08,5.35
316,Bull Savanna,47,JM,1563644998,72,17.89,-77.59,85.84,24.34
317,Kruisfontein,58,ZA,1563644998,78,-34.0,24.73,46.06,2.82
318,Ketchikan,40,US,1563644884,77,55.34,-131.65,60.8,9.17
319,Mnogovershinnyy,100,RU,1563644856,98,53.94,139.92,55.24,3.91
320,Clyde River,75,CA,1563644968,87,70.47,-68.59,42.8,12.75
321,Constitucion,20,MX,1563644850,56,23.99,-104.67,69.91,5.82
322,Vasilsursk,56,RU,1563644999,92,56.13,46.01,58.48,3.87
323,Henties Bay,0,NA,1563644999,84,-22.12,14.28,59.0,3.0
324,Copiapo,20,CL,1563644892,62,-27.37,-70.33,59.0,12.75
325,Upington,0,ZA,1563645000,37,-28.46,21.24,53.6,3.36
326,Rawson,100,AR,1563644812,79,-43.3,-65.11,42.1,24.47
327,Mahon,75,IE,1563645000,72,51.89,-8.4,63.95,11.41
328,Namwala,22,ZM,1563645000,25,-15.75,26.45,61.54,1.03
329,Jinxiang,11,CN,1563645000,74,35.07,116.31,79.0,4.79
330,Havoysund,0,NO,1563644812,55,71.0,24.66,62.6,4.7
331,Shiraz,40,IR,1563645001,15,29.61,52.54,93.2,4.7
332,El Jicaro,93,GT,1563645001,81,14.91,-89.89,74.86,1.16
333,Longyearbyen,75,NO,1563645001,87,78.22,15.63,44.6,5.82
334,Mombetsu,73,JP,1563645001,75,44.35,143.35,64.99,3.0
335,Nagato,75,JP,1563645002,100,34.35,131.14,77.0,10.29
336,Murupara,64,NZ,1563645002,99,-38.46,176.71,39.97,1.79
337,Boca do Acre,70,BR,1563645002,28,-8.76,-67.39,97.0,2.66
338,Isla Vista,0,US,1563645002,68,34.41,-119.86,67.19,3.36
339,Sorland,43,NO,1563645003,90,67.67,12.69,54.16,10.96
340,Pedasi,100,PA,1563645003,72,7.53,-80.03,84.04,8.52
341,Thompson,75,CA,1563645003,51,55.74,-97.86,62.6,9.17
342,Bari,0,IT,1563645003,51,41.13,16.86,80.46,5.82
343,Shellbrook,90,CA,1563645004,87,53.22,-106.39,60.8,6.93
344,Antofagasta,20,CL,1563645004,63,-23.65,-70.4,60.8,11.41
345,Hambantota,100,LK,1563645004,77,6.12,81.12,82.06,19.64
346,Itarema,62,BR,1563644816,65,-2.92,-39.92,82.42,13.38
347,Margate,0,AU,1563645005,62,-43.03,147.26,49.96,12.75
348,Gamba,18,CN,1563645005,65,28.28,88.52,44.44,4.83
349,Palmas,20,BR,1563645005,27,-10.18,-48.33,89.6,6.93
350,Todos Santos,5,MX,1563645005,62,23.45,-110.23,84.58,16.11
351,Changji,35,CN,1563645006,86,32.07,116.17,79.0,4.83
352,Baykit,80,RU,1563645006,59,61.68,96.39,52.54,9.6
353,Phonhong,100,LA,1563645006,97,18.5,102.42,75.94,1.36
354,Bassila,77,BJ,1563645006,91,9.0,1.66,75.04,2.66
355,Port-Cartier,75,CA,1563645006,82,50.03,-66.88,64.4,5.82
356,Mar del Plata,35,AR,1563645007,40,-46.43,-67.52,44.62,17.52
357,Liuli,0,TZ,1563645007,62,-11.1,34.65,74.68,3.6
358,La Sarre,47,CA,1563645007,28,48.8,-79.2,84.58,13.38
359,Okhotsk,0,RU,1563645007,59,59.36,143.24,50.92,16.55
360,Praya,75,ID,1563645008,94,-8.71,116.27,73.4,4.7
361,Borogontsy,0,RU,1563645008,69,62.67,131.17,41.92,2.86
362,Yulara,90,AU,1563644880,36,-25.24,130.99,60.8,11.41
363,Mareeba,90,AU,1563644840,72,-16.99,145.42,60.55,8.05
364,Havre-Saint-Pierre,90,CA,1563644896,82,50.23,-63.6,60.8,12.75
365,Arteaga,5,MX,1563645008,39,25.45,-100.85,80.46,6.78
366,Isla Mujeres,75,MX,1563645009,62,21.23,-86.73,89.31,11.41
367,Jinchang,88,CN,1563645009,31,38.52,102.19,73.24,0.74
368,Ler,75,NO,1563645009,41,63.2,10.3,74.32,13.87
369,Provideniya,100,RU,1563644755,89,64.42,-173.23,51.46,3.42
370,The Pas,1,CA,1563645010,59,53.82,-101.24,62.6,5.82
371,Kizema,46,RU,1563645010,92,61.11,44.83,59.38,3.31
372,Faanui,3,PF,1563645010,75,-16.48,-151.75,76.84,14.47
373,Egvekinot,100,RU,1563645010,93,66.32,-179.17,42.46,3.74
374,Bloomington,1,US,1563645011,56,40.47,-88.99,91.17,16.11
375,Goundam,2,ML,1563645011,26,16.42,-3.66,99.88,5.39
376,Oga,75,IT,1563645011,72,46.46,10.35,63.18,19.46
377,Esso,100,RU,1563645011,96,55.93,158.7,52.18,2.98
378,Jiazi,0,CN,1563645012,94,19.61,110.49,78.8,4.03
379,Barnstaple,20,GB,1563645012,49,51.08,-4.06,65.84,12.75
380,San Carlos de Bariloche,100,AR,1563645012,99,-41.13,-71.31,33.8,2.24
381,Castro,90,CL,1563644861,100,-42.48,-73.76,41.0,8.05
382,Montepuez,0,MZ,1563645013,39,-13.13,39.0,71.44,2.68
383,Talcahuano,90,CL,1563644925,93,-36.72,-73.12,53.6,11.41
384,Buala,100,SB,1563645013,84,-8.15,159.59,78.46,6.69
385,Batagay-Alyta,100,RU,1563645013,64,67.8,130.41,43.36,2.55
386,Monteagudo,100,BO,1563645014,54,-19.8,-63.96,80.6,5.82
387,Matara,93,BI,1563645014,91,-3.48,29.48,54.16,2.3
388,Walvis Bay,0,NA,1563645014,41,-22.95,14.51,65.82,4.7
389,Banganapalle,90,IN,1563645014,70,15.32,78.23,80.44,12.97
390,Madera,1,US,1563645014,44,36.96,-120.06,79.05,4.7
391,Diveyevo,26,RU,1563645015,96,55.04,43.25,59.38,5.95
392,Sola,66,TZ,1563645015,40,-3.17,33.8,73.96,1.7
393,Gigmoto,100,PH,1563645015,78,13.78,124.39,83.32,4.92
394,Itoman,75,JP,1563645015,94,26.12,127.67,81.86,10.29
395,Shimoda,100,JP,1563644819,93,34.7,138.93,74.01,1.01
396,Hasaki,75,JP,1563645016,100,35.73,140.83,72.32,5.82
397,Zatoka,0,PL,1563645016,44,50.04,20.52,76.03,1.12
398,Oussouye,20,SN,1563645016,66,12.49,-16.54,86.0,4.7
399,Cabo San Lucas,5,MX,1563644837,58,22.89,-109.91,84.52,8.05
400,Pravda,84,BG,1563645016,61,43.16,25.69,78.93,4.7
401,Lang Son,98,VN,1563644839,93,21.83,106.73,77.56,2.95
402,Cap Malheureux,40,MU,1563645017,83,-19.98,57.61,71.78,12.75
403,Agadez,20,NE,1563645017,74,16.97,7.99,81.52,6.93
404,Nizhniy Tsasuchey,98,RU,1563645017,90,50.52,115.13,56.5,9.37
405,Baisha,10,CN,1563645018,81,19.23,109.45,81.88,4.97
406,Nizhniy Ingash,66,RU,1563645018,96,56.2,96.53,48.58,2.91
407,Russkaya Polyana,34,RU,1563645018,77,53.78,73.88,68.56,5.84
408,Srednekolymsk,82,RU,1563645018,63,67.46,153.71,45.7,7.36
409,Guarapari,75,BR,1563645018,69,-20.67,-40.5,73.4,10.29
410,Bubaque,60,GW,1563645019,78,11.28,-15.83,78.82,5.01
411,Pangai,100,TO,1563644910,85,-19.8,-174.35,77.56,17.07
412,Tuatapere,98,NZ,1563645019,98,-46.13,167.69,48.0,8.93
413,Mbandaka,84,CD,1563645019,84,0.05,18.26,74.14,0.83
414,Banda Aceh,100,ID,1563644964,84,5.56,95.32,81.34,27.45
415,Vila,0,IT,1563644933,40,45.18,8.4,84.34,4.7
416,Kuusamo,0,FI,1563645020,63,65.96,29.19,64.4,2.24
417,Yamada,75,JP,1563645020,88,36.58,137.08,75.81,4.7
418,Olinda,0,AU,1563645020,71,-37.84,145.39,54.68,27.51
419,Camacha,75,PT,1563644907,69,33.08,-16.33,74.43,14.99
420,Karauli,35,IN,1563645021,45,26.5,77.03,92.86,4.41
421,Bafoulabe,89,ML,1563645021,49,13.81,-10.83,91.78,6.22
422,Menzelinsk,20,RU,1563645021,53,55.73,53.11,71.6,11.18
423,Mildura,14,AU,1563645021,40,-34.18,142.16,52.77,8.05
424,Custoias,0,PT,1563645021,5,41.11,-7.32,81.0,5.99
425,Bilibino,84,RU,1563645022,87,68.06,166.44,37.06,1.95
426,Vardo,1,US,1563644864,49,39.62,-77.74,93.24,8.05
427,Khor,78,RU,1563645022,90,47.88,134.96,68.2,5.79
428,Westport,1,US,1563644850,62,41.14,-73.36,93.78,11.41
429,Manavalakurichi,75,IN,1563645022,100,8.13,77.3,75.2,6.93
430,Lingao,15,CN,1563645023,75,19.91,109.69,86.38,2.53
431,Wahpeton,1,US,1563645023,60,46.27,-96.61,72.36,3.36
432,Tezu,96,IN,1563645023,82,27.93,96.16,76.12,2.68
433,Deputatskiy,70,RU,1563645023,60,69.3,139.9,48.22,19.44
434,Cabra,0,ES,1563645023,20,37.47,-4.43,99.09,6.93
435,Berberati,95,CF,1563645024,93,4.26,15.79,70.54,3.53
436,Mitu,28,IR,1563645024,37,36.2,46.09,71.62,1.41
437,Thunder Bay,75,CA,1563645024,60,48.41,-89.26,75.29,6.93
438,Sorong,49,ID,1563645025,93,-0.86,131.25,75.04,6.15
439,Madimba,40,CM,1563645025,78,4.42,9.93,82.4,5.82
440,Sinnamary,1,GF,1563645025,75,5.38,-52.96,82.24,14.36
441,Sumbe,0,AO,1563645025,85,-11.2,13.84,71.6,9.17
442,Male,29,UA,1563645026,68,50.74,33.7,65.5,3.44
443,Hofn,100,IS,1563644760,97,64.25,-15.21,40.3,5.37
444,Lahad Datu,94,MY,1563645026,98,5.02,118.33,70.9,1.41
445,Northam,90,AU,1563645026,87,-31.65,116.67,55.4,8.05
446,Cotonou,20,BJ,1563644930,88,6.37,2.43,78.8,10.29
447,Tela,75,HN,1563645027,78,15.78,-87.45,84.52,2.24
448,Saint-Philippe,1,CA,1563645027,49,45.36,-73.48,89.31,5.82
449,Touros,75,BR,1563645027,65,-5.2,-35.46,82.4,16.11
450,Mantua,0,IT,1563645027,43,45.16,10.79,88.57,10.29
451,Martinho Campos,5,BR,1563645028,36,-19.33,-45.24,75.22,4.94
452,La Ronge,75,CA,1563645028,59,55.1,-105.3,64.4,6.93
453,Lazarev,100,RU,1563645028,99,52.23,141.51,56.14,13.78
454,Syamzha,14,RU,1563645028,93,60.02,41.06,57.58,1.3
455,Huanren,70,CN,1563645029,92,41.26,125.37,68.92,0.92
456,Aranos,0,NA,1563645029,17,-24.14,19.11,57.22,10.18
457,Hobyo,13,SO,1563645029,73,5.35,48.53,76.84,27.85
458,Naze,87,NG,1563645029,91,5.43,7.07,75.22,5.39
459,Tomatlan,85,MX,1563644825,62,19.93,-105.25,84.4,6.17
460,North Platte,20,US,1563645030,73,41.12,-100.77,74.97,17.22
461,Whitehorse,90,CA,1563645030,82,60.72,-135.06,55.35,5.82
462,Union,1,US,1563645031,47,40.7,-74.26,95.54,10.29
463,Rio Hato,39,PA,1563645031,60,8.38,-80.16,92.44,12.12
464,Marfino,40,RU,1563645031,82,56.07,37.56,64.47,13.42
465,Poum,40,MK,1563645031,73,41.28,20.71,69.8,2.24
466,Taseyevo,68,RU,1563645031,98,57.22,94.9,46.42,0.2
467,Abu Kamal,0,SY,1563645032,22,34.45,40.92,91.24,13.22
468,Adrar,1,DZ,1563645032,7,27.87,-0.29,114.8,18.34
469,Benguela,0,AO,1563645018,85,-12.58,13.4,71.26,3.94
470,Iqaluit,90,CA,1563645017,100,63.75,-68.52,41.0,9.17
471,Port Augusta,87,AU,1563645033,67,-32.49,137.76,54.23,8.05
472,Ponta Delgada,40,PT,1563644884,83,37.73,-25.67,75.2,9.17
473,Pavilosta,38,LV,1563645033,56,56.89,21.19,69.66,3.36
474,Tual,24,ID,1563645033,84,-5.67,132.75,76.66,20.49
475,Havelock,20,US,1563644904,50,34.88,-76.9,91.31,12.75
476,Opelika,75,US,1563645033,66,32.65,-85.38,85.51,6.06
477,Dingle,43,PH,1563644873,89,11.0,122.67,74.86,3.0
478,Gushikawa,75,JP,1563644891,94,26.35,127.87,81.86,10.29
479,Mogadishu,25,SO,1563645034,79,2.04,45.34,75.94,14.97
480,Chumikan,100,RU,1563645034,98,54.72,135.31,50.74,3.91
481,Lodja,7,CD,1563645035,37,-3.52,23.6,79.18,2.44
482,Lagoa,0,PT,1563645029,65,37.14,-8.45,83.62,9.17
483,Porto Novo,40,BR,1563645035,43,-23.68,-45.44,73.4,5.82
484,Lubumbashi,0,CD,1563645035,32,-11.66,27.48,62.62,4.09
485,Longhua,77,CN,1563645036,91,29.21,106.21,77.02,2.17
486,Hamilton,40,CA,1563644782,79,43.26,-79.87,89.89,10.29
487,Mukhen,100,RU,1563645036,80,48.19,136.14,66.76,4.32
488,La Rioja,0,AR,1563645036,36,-29.41,-66.86,64.6,4.85
489,Itapolis,0,BR,1563645036,38,-21.6,-48.81,78.28,7.81
490,Plettenberg Bay,68,ZA,1563645037,74,-34.05,23.37,45.34,3.38
491,Cayenne,7,GF,1563645037,94,4.94,-52.33,75.2,4.7
492,Nevsehir,20,TR,1563645037,50,38.62,34.71,75.07,14.99
493,Dabuleni,45,RO,1563645037,42,43.8,24.09,83.41,3.36
494,Nishihara,1,JP,1563645037,94,35.74,139.53,76.8,6.24
495,Nampula,20,MZ,1563645038,49,-15.12,39.26,73.4,3.36
496,Boa Vista,75,BR,1563645038,62,2.82,-60.67,86.0,4.7
497,Ahlat,0,TR,1563645038,29,38.75,42.49,69.46,1.68
498,Nouadhibou,0,MR,1563645039,57,20.93,-17.03,78.8,18.34
499,Altay,45,CN,1563645039,72,47.83,88.13,49.84,2.95
500,Eureka,20,US,1563645039,72,40.8,-124.16,61.34,5.82
501,Russell,1,US,1563645039,30,38.9,-98.86,97.36,19.46
502,Zhanakorgan,11,KZ,1563645040,15,43.91,67.25,87.28,8.19
503,Wattegama,100,LK,1563645040,96,7.35,80.68,72.16,4.45
504,Trinidad,20,BO,1563645040,58,-14.83,-64.9,87.8,9.17
505,Kloulklubed,90,PW,1563644892,83,7.04,134.26,80.6,4.7
506,Jati,0,PK,1563645041,66,24.35,68.27,84.94,13.33
507,Draguignan,0,FR,1563645041,74,43.54,6.46,80.2,5.82
508,Richards Bay,65,ZA,1563645041,69,-28.77,32.06,62.62,42.93
509,Aguimes,20,ES,1563645041,57,27.91,-15.45,76.57,28.86
510,Salvador,67,BR,1563645041,78,-12.98,-38.48,75.58,20.18
511,Denpasar,62,ID,1563645042,92,-8.65,115.22,72.52,7.52
512,Pimentel,61,BR,1563645042,52,-3.7,-45.5,86.02,5.46
513,Pingdu,0,CN,1563645042,83,36.79,119.95,78.8,4.47
514,Bar Harbor,90,US,1563645003,52,44.39,-68.2,88.65,8.05
515,San Cristobal,92,HN,1563644822,47,14.68,-86.92,84.22,11.36
516,Maldonado,90,UY,1563645043,77,-34.91,-54.96,66.2,8.05
517,Watertown,1,US,1563644977,72,44.9,-97.12,68.65,8.05
518,Iskateley,100,RU,1563645043,85,67.68,53.15,47.86,9.35
519,Lethem,16,GY,1563645043,56,3.38,-59.8,87.82,5.46
520,Cardston,90,CA,1563645044,93,49.2,-113.32,51.96,11.41
521,Juterbog,75,DE,1563645044,42,51.98,13.08,83.93,2.24
522,Necochea,93,AR,1563645044,72,-38.55,-58.74,55.99,8.01
523,Mardin,0,TR,1563645044,12,37.32,40.72,98.6,5.82
524,Ruwi,0,OM,1563645044,84,23.6,58.55,86.0,3.36
525,Moose Factory,75,CA,1563645043,82,51.26,-80.61,60.8,9.17
526,Ayagoz,0,KZ,1563645045,63,47.96,80.43,65.14,12.82
527,Rocha,42,UY,1563644923,80,-34.48,-54.34,66.58,8.28
528,Borba,34,BR,1563645045,48,-4.39,-59.59,90.88,5.23
529,Port Moresby,4,PG,1563645045,81,-9.47,147.16,75.04,20.09
530,Pag,0,HR,1563645046,37,44.45,15.06,80.31,6.93
531,Dongsheng,92,CN,1563644866,76,29.72,112.52,79.72,1.5
532,Husavik,65,CA,1563644955,56,50.56,-96.99,70.11,3.0
533,Peniche,20,PT,1563645046,69,39.36,-9.38,70.92,20.8
534,Macusani,0,PE,1563645046,46,-14.07,-70.43,43.72,13.56
535,Roblin,83,CA,1563645047,69,51.23,-101.35,65.32,8.19
536,Tabat,1,ID,1563645047,98,-2.64,115.23,73.06,0.4
537,Bismarck,83,US,1563644943,69,46.81,-100.78,75.33,12.75
538,Talnakh,0,RU,1563644824,55,69.49,88.39,60.8,8.95
539,Smirnykh,95,RU,1563645047,99,49.74,142.83,58.48,4.23
540,Pisco,90,PE,1563644851,30,-13.71,-76.2,67.6,8.05
541,Kutum,71,SD,1563645048,36,14.2,24.66,86.56,2.53
542,Bom Jesus,75,BR,1563645048,65,-5.99,-35.58,82.4,16.11
543,Rijeka,0,HR,1563644868,51,45.33,14.44,82.44,2.24
544,Colac,16,AU,1563645048,69,-38.34,143.59,53.87,3.0
545,Saint-Francois,94,FR,1563645049,42,46.42,3.91,86.0,10.29
546,Victor Harbor,20,AU,1563645049,82,-35.55,138.62,52.2,11.41
547,Kavieng,97,PG,1563645049,75,-2.57,150.8,84.04,18.1
548,Nelson Bay,0,AU,1563645049,86,-32.72,152.14,46.51,5.82
549,Arkansas City,1,US,1563644822,49,37.06,-97.04,93.9,16.11
550,Warrenton,0,ZA,1563644838,30,-28.11,24.85,44.08,9.91
551,Mersing,71,MY,1563645050,92,2.43,103.84,74.68,1.72
552,South Sioux City,1,US,1563644863,77,42.47,-96.41,68.22,9.17
553,Santa Maria,20,BR,1563645050,43,-16.02,-48.01,73.2,11.41
554,Noumea,20,NC,1563645050,93,-22.28,166.46,55.4,3.36
555,Valparaiso,20,US,1563644820,63,41.47,-87.06,90.97,12.75
556,Tolstoy-Yurt,0,RU,1563645051,65,43.44,45.77,78.8,4.47
557,Limoges,0,FR,1563645051,64,45.84,1.26,76.08,9.17
558,Teguldet,27,RU,1563645051,85,57.31,88.17,48.94,2.98
559,Maniitsoq,14,GL,1563645052,84,65.42,-52.9,47.68,12.26
560,Novoagansk,92,RU,1563645052,45,61.94,76.66,71.26,11.63
561,Kahului,40,US,1563644875,69,20.89,-156.47,76.78,12.75
562,Maragogi,35,BR,1563644856,86,-9.01,-35.22,75.22,10.02
563,Kumluca,27,TR,1563645053,62,36.37,30.29,67.84,2.19
564,Arroyo,75,BO,1563645053,59,-11.08,-66.08,89.6,6.93
565,Praia,75,BR,1563644891,46,-20.25,-43.81,69.17,12.75
566,Astorga,0,BR,1563645053,39,-23.24,-51.66,77.86,13.87
567,Petropavlovsk-Kamchatskiy,40,RU,1563645053,88,53.05,158.65,62.6,6.71
568,Bafra,75,TR,1563645054,69,41.57,35.91,75.06,6.93
569,Dandong,51,CN,1563645054,87,40.12,124.37,74.32,4.5
570,Ust-Kulom,57,RU,1563645054,75,61.69,53.69,61.54,5.14
571,Gahanna,40,US,1563645054,62,40.02,-82.88,89.94,17.22
572,Marzuq,39,YE,1563644863,17,14.4,46.47,82.24,4.38
573,Puerto Suarez,0,BO,1563645055,51,-18.96,-57.8,84.2,12.75
574,Butembo,13,CD,1563645055,94,0.12,29.29,62.26,1.79
575,Avera,1,US,1563645055,66,33.19,-82.53,89.04,8.05
576,Sur,0,OM,1563644937,80,22.57,59.53,77.38,14.16
577,Dwarka,75,IN,1563645056,88,28.58,77.04,82.4,7.74
578,Darnah,0,LY,1563645056,80,32.77,22.64,77.02,12.84
579,Providencia,40,CO,1563645056,36,1.24,-77.6,66.94,12.75
580,Knysna,20,ZA,1563644850,75,-34.04,23.05,44.6,3.36
581,Iquique,40,CL,1563644758,67,-20.22,-70.14,62.6,8.05
582,Nemuro,97,JP,1563644906,95,43.32,145.57,57.04,10.96
583,Port Hardy,90,CA,1563645057,93,50.7,-127.42,55.4,5.82
584,Rimouski,40,CA,1563645030,47,48.45,-68.52,80.6,11.41
585,Lamar,1,US,1563645057,27,38.09,-102.62,91.4,10.29
586,Calabozo,36,VE,1563645057,69,8.92,-67.43,85.84,6.73
587,Kpandae,99,GH,1563645058,89,8.46,-0.01,76.48,3.47
588,Tigil,100,RU,1563645058,95,57.8,158.67,55.24,16.37
589,Panguna,37,PG,1563645058,77,-6.32,155.48,79.9,7.67
590,Innisfail,45,AU,1563645058,92,-17.52,146.03,58.3,4.36
591,Bereda,40,ES,1563645059,73,43.27,-7.54,70.43,10.29
592,Elliot Lake,1,CA,1563645059,61,46.37,-82.65,82.4,16.11
593,Gerstetten,82,DE,1563645059,42,48.62,10.02,81.81,10.29
594,Zhangjiakou,0,CN,1563645059,83,40.77,114.88,62.62,2.19
595,Onega,100,RU,1563645060,77,63.91,38.09,56.86,10.69
596,Owen Sound,75,CA,1563645060,61,44.57,-80.95,83.86,8.05
